DATETIME,TMP,DPT,RH,WS,WD,WG,APCP,CLOUD,SLP,PTYPE,RQP,SQP,FQP,IQP,WS925,WD925,TMP850,WS850
2025/06/01 05:00,6.3,5.9,97,1,083,1,0.0,78,1024.8,,0.0,0.0,0.0,0.0,1,216,2.0,5
2025/06/01 06:00,6.6,5.7,94,1,260,2,0.0,78,1024.9,,0.0,0.0,0.0,0.0,2,247,2.0,7
2025/06/01 07:00,6.6,5.7,94,1,227,3,0.0,78,1025.0,,0.0,0.0,0.0,0.0,1,242,2.2,7
2025/06/01 08:00,6.9,6.0,94,2,207,3,0.0,79,1025.6,,0.0,0.0,0.0,0.0,1,226,2.3,6
2025/06/01 09:00,7.5,6.3,92,4,178,4,0.1,71,1025.6,RA,0.1,0.0,0.0,0.0,2,184,2.4,4
2025/06/01 10:00,8.2,6.6,90,7,188,6,0.1,67,1025.4,,0.1,0.0,0.0,0.0,5,191,2.3,2
2025/06/01 11:00,8.7,6.8,88,9,194,8,0.1,63,1025.4,,0.1,0.0,0.0,0.0,7,197,2.3,6
2025/06/01 12:00,9.0,6.8,86,10,206,8,0.1,65,1025.0,,0.1,0.0,0.0,0.0,8,207,2.2,8
2025/06/01 13:00,10.0,6.3,78,11,224,7,0.1,52,1024.6,,0.1,0.0,0.0,0.0,8,223,2.3,10
2025/06/01 14:00,11.0,6.0,71,10,240,8,0.1,56,1024.4,,0.1,0.0,0.0,0.0,8,239,2.6,10
2025/06/01 15:00,11.7,5.6,66,11,257,10,0.1,56,1024.0,,0.1,0.0,0.0,0.0,8,259,3.0,11
2025/06/01 16:00,12.3,5.4,63,11,268,12,0.1,89,1023.3,,0.1,0.0,0.0,0.0,9,272,3.8,12
2025/06/01 17:00,12.4,5.2,61,11,278,13,0.1,78,1022.9,,0.1,0.0,0.0,0.0,8,281,4.2,12
2025/06/01 18:00,12.6,5.1,60,10,288,14,0.1,56,1023.0,,0.1,0.0,0.0,0.0,8,291,4.7,13
2025/06/01 19:00,12.5,5.0,60,10,296,14,0.1,35,1023.1,,0.1,0.0,0.0,0.0,8,298,5.0,13
2025/06/01 20:00,12.1,4.7,61,9,298,12,0.1,26,1023.0,,0.1,0.0,0.0,0.0,8,301,5.1,13
2025/06/01 21:00,11.2,4.4,63,7,286,10,0.1,34,1022.8,,0.1,0.0,0.0,0.0,6,290,5.0,13
2025/06/01 22:00,10.8,4.3,64,5,265,7,0.1,22,1023.5,,0.1,0.0,0.0,0.0,5,270,5.3,13
2025/06/01 23:00,10.0,4.5,69,3,267,5,0.1,1,1023.8,,0.1,0.0,0.0,0.0,4,273,5.6,12
2025/06/02 00:00,9.1,4.7,74,2,309,2,0.1,0,1024.3,,0.1,0.0,0.0,0.0,3,299,5.8,9
2025/06/02 01:00,8.4,4.7,77,2,011,2,0.1,4,1024.4,,0.1,0.0,0.0,0.0,2,330,5.6,7
2025/06/02 02:00,7.8,4.7,81,3,048,2,0.1,34,1024.8,,0.1,0.0,0.0,0.0,2,036,5.5,6
2025/06/02 03:00,7.6,4.7,82,3,063,3,0.1,96,1025.3,,0.1,0.0,0.0,0.0,2,065,5.3,5
2025/06/02 04:00,7.2,4.6,84,3,056,3,0.1,100,1025.4,,0.1,0.0,0.0,0.0,2,051,5.3,5
2025/06/02 05:00,7.1,4.6,84,2,038,2,0.1,100,1025.5,,0.1,0.0,0.0,0.0,2,018,5.1,5
2025/06/02 06:00,7.1,4.8,85,2,052,2,0.1,100,1025.4,,0.1,0.0,0.0,0.0,1,028,5.1,4
2025/06/02 07:00,7.9,5.5,85,1,093,1,0.1,80,1025.7,,0.1,0.0,0.0,0.0,0,199,5.0,4
2025/06/02 08:00,9.3,6.2,81,2,197,2,0.1,28,1025.1,,0.1,0.0,0.0,0.0,2,220,4.9,3
2025/06/02 09:00,10.1,6.6,79,4,217,2,0.1,31,1024.6,,0.1,0.0,0.0,0.0,4,226,4.9,2
2025/06/02 10:00,11.6,6.9,73,5,198,4,0.1,30,1024.5,,0.1,0.0,0.0,0.0,4,209,4.8,2
2025/06/02 11:00,12.8,6.8,67,6,199,5,0.1,39,1024.4,,0.1,0.0,0.0,0.0,5,207,4.7,4
2025/06/02 12:00,13.6,6.5,62,7,204,6,0.1,46,1024.3,,0.1,0.0,0.0,0.0,6,210,5.0,6
2025/06/02 13:00,14.1,6.3,59,9,216,6,0.1,73,1023.9,,0.1,0.0,0.0,0.0,7,219,5.4,8
2025/06/02 14:00,14.5,6.3,58,9,232,6,0.1,78,1023.9,,0.1,0.0,0.0,0.0,7,233,5.7,8
2025/06/02 15:00,14.7,6.2,57,9,247,5,0.1,87,1023.9,,0.1,0.0,0.0,0.0,7,249,6.2,8
2025/06/02 16:00,14.9,6.1,56,9,260,7,0.1,81,1023.2,,0.1,0.0,0.0,0.0,7,262,6.4,9
2025/06/02 17:00,15.0,6.1,55,10,267,9,0.1,67,1023.0,,0.1,0.0,0.0,0.0,8,270,6.9,10
2025/06/02 20:00,14.0,6.0,58,9,271,9,0.1,31,1022.4,,0.1,0.0,0.0,0.0,7,275,7.0,11
2025/06/02 23:00,11.8,6.2,68,3,277,6,0.1,26,1022.6,,0.1,0.0,0.0,0.0,4,277,7.0,11
2025/06/03 02:00,10.2,6.3,77,3,035,3,0.1,11,1022.5,,0.1,0.0,0.0,0.0,3,032,7.3,7
2025/06/03 05:00,8.0,5.8,86,4,044,3,0.1,13,1023.4,,0.1,0.0,0.0,0.0,4,040,7.0,7
2025/06/03 08:00,10.3,7.5,83,1,337,1,0.1,33,1023.0,,0.1,0.0,0.0,0.0,2,297,7.0,7
2025/06/03 11:00,14.2,8.9,70,8,237,5,0.1,19,1022.2,,0.1,0.0,0.0,0.0,7,243,7.1,5
2025/06/03 14:00,16.1,9.1,63,13,234,10,0.1,26,1021.2,,0.1,0.0,0.0,0.0,10,237,7.7,12
2025/06/03 17:00,16.4,8.4,59,13,238,12,0.1,17,1019.6,,0.1,0.0,0.0,0.0,10,240,8.2,13
2025/06/03 20:00,14.3,7.8,65,10,232,9,0.1,4,1019.3,,0.1,0.0,0.0,0.0,8,234,8.1,11
2025/06/03 23:00,10.8,7.7,81,6,223,7,0.1,4,1019.9,,0.1,0.0,0.0,0.0,5,222,7.8,8
2025/06/04 02:00,8.8,7.2,90,3,188,3,0.1,42,1019.9,,0.1,0.0,0.0,0.0,2,184,7.0,9
2025/06/04 05:00,7.9,7.3,96,0,118,1,0.1,100,1020.2,,0.1,0.0,0.0,0.0,1,076,6.1,10
2025/06/04 08:00,8.0,7.2,95,1,158,1,0.1,100,1020.3,,0.1,0.0,0.0,0.0,1,122,5.1,7
2025/06/04 11:00,10.0,8.3,89,8,220,6,0.1,83,1019.5,,0.1,0.0,0.0,0.0,7,219,4.6,6
2025/06/04 14:00,11.6,8.6,82,12,225,9,0.1,100,1018.4,,0.1,0.0,0.0,0.0,9,227,5.5,9
2025/06/04 17:00,13.3,8.7,74,13,232,10,0.1,94,1016.9,,0.1,0.0,0.0,0.0,10,233,6.2,13
